,TPR,SPC,PPV,NPV,ACC,AUC,BER
0,0.75,0.7142857142857143,0.6923076923076923,0.7692307692307693,0.7307692307692307,0.8007142857142857,0.26785714285714285
1,0.75,0.7428571428571429,0.7142857142857143,0.7761194029850746,0.7461538461538462,0.8447619047619048,0.25357142857142856
2,0.8,0.7857142857142857,0.7619047619047619,0.8208955223880597,0.7923076923076923,0.8633333333333333,0.20714285714285713
3,0.7666666666666667,0.8428571428571429,0.8070175438596491,0.8082191780821918,0.8076923076923077,0.8578571428571429,0.1952380952380952
4,0.8333333333333334,0.8142857142857143,0.7936507936507936,0.8507462686567164,0.823076923076923,0.9102380952380953,0.17619047619047618
5,0.7333333333333333,0.782608695652174,0.7457627118644068,0.7714285714285715,0.7596899224806202,0.8444444444444443,0.24202898550724639
6,0.7666666666666667,0.7681159420289855,0.7419354838709677,0.7910447761194029,0.7674418604651163,0.8444444444444444,0.2326086956521739
7,0.8666666666666667,0.7391304347826086,0.7428571428571429,0.864406779661017,0.7984496124031008,0.8997584541062802,0.19710144927536233
8,0.847457627118644,0.7681159420289855,0.7575757575757576,0.8548387096774194,0.8046875,0.9069024809629085,0.19221321542618525
9,0.8135593220338984,0.8695652173913043,0.8421052631578947,0.8450704225352113,0.84375,0.8874969295013511,0.15843773028739866
