,TPR,SPC,PPV,NPV,ACC,AUC,BER
0,0.85,0.7,0.7083333333333334,0.8448275862068966,0.7692307692307693,0.8478571428571429,0.22500000000000003
1,0.8,0.7,0.6956521739130435,0.8032786885245902,0.7461538461538462,0.8592857142857143,0.25
2,0.8833333333333333,0.7714285714285715,0.7681159420289855,0.8852459016393442,0.823076923076923,0.9028571428571428,0.17261904761904762
3,0.7833333333333333,0.8285714285714286,0.7966101694915254,0.8169014084507042,0.8076923076923077,0.8916666666666666,0.19404761904761902
4,0.8666666666666667,0.8285714285714286,0.8125,0.8787878787878788,0.8461538461538461,0.9319047619047619,0.15238095238095234
5,0.7666666666666667,0.7971014492753623,0.7666666666666667,0.7971014492753623,0.7829457364341085,0.8417874396135265,0.2181159420289855
6,0.85,0.7681159420289855,0.7611940298507462,0.8548387096774194,0.8062015503875969,0.8690821256038648,0.19094202898550727
7,0.9,0.7536231884057971,0.7605633802816901,0.896551724137931,0.8217054263565892,0.9055555555555556,0.17318840579710143
8,0.9322033898305084,0.8260869565217391,0.8208955223880597,0.9344262295081968,0.875,0.9245885531810366,0.12085482682387622
9,0.8135593220338984,0.8115942028985508,0.7868852459016393,0.835820895522388,0.8125,0.8820928518791452,0.18742323753377543
