,TPR,SPC,PPV,NPV,ACC,AUC,BER
0,0.7,0.6285714285714286,0.6176470588235294,0.7096774193548387,0.6615384615384615,0.7773809523809524,0.33571428571428574
1,0.75,0.7428571428571429,0.7142857142857143,0.7761194029850746,0.7461538461538462,0.8214285714285715,0.25357142857142856
2,0.7666666666666667,0.7857142857142857,0.7540983606557377,0.7971014492753623,0.7769230769230769,0.8838095238095238,0.2238095238095238
3,0.7,0.8142857142857143,0.7636363636363637,0.76,0.7615384615384615,0.8095238095238095,0.24285714285714288
4,0.7166666666666667,0.8285714285714286,0.7818181818181819,0.7733333333333333,0.7769230769230769,0.8466666666666667,0.22738095238095235
5,0.6666666666666666,0.782608695652174,0.7272727272727273,0.7297297297297297,0.7286821705426356,0.7905797101449274,0.2753623188405797
6,0.6833333333333333,0.7681159420289855,0.7192982456140351,0.7361111111111112,0.7286821705426356,0.7929951690821256,0.2742753623188406
7,0.7666666666666667,0.782608695652174,0.7540983606557377,0.7941176470588235,0.7751937984496124,0.8584541062801933,0.22536231884057967
8,0.7796610169491526,0.8115942028985508,0.7796610169491526,0.8115942028985508,0.796875,0.8816015720953083,0.20437239007614832
9,0.7796610169491526,0.8115942028985508,0.7796610169491526,0.8115942028985508,0.796875,0.8504053058216655,0.20437239007614832
