,TPR,SPC,PPV,NPV,ACC,AUC,BER
0,0.8666666666666667,0.6571428571428571,0.6842105263157895,0.8518518518518519,0.7538461538461538,0.8324999999999999,0.23809523809523808
1,0.7833333333333333,0.7142857142857143,0.7014925373134329,0.7936507936507936,0.7461538461538462,0.83,0.2511904761904762
2,0.9,0.7857142857142857,0.782608695652174,0.9016393442622951,0.8384615384615385,0.9090476190476191,0.15714285714285714
3,0.8,0.8285714285714286,0.8,0.8285714285714286,0.8153846153846154,0.8854761904761905,0.18571428571428567
4,0.85,0.8142857142857143,0.796875,0.8636363636363636,0.8307692307692308,0.9280952380952381,0.16785714285714287
5,0.7333333333333333,0.7681159420289855,0.7333333333333333,0.7681159420289855,0.751937984496124,0.8410628019323672,0.24927536231884062
6,0.7833333333333333,0.7101449275362319,0.7014925373134329,0.7903225806451613,0.7441860465116279,0.8364734299516908,0.2532608695652174
7,0.8833333333333333,0.782608695652174,0.7794117647058824,0.8852459016393442,0.8294573643410853,0.9154589371980676,0.16702898550724637
8,0.8813559322033898,0.7536231884057971,0.7536231884057971,0.8813559322033898,0.8125,0.9265536723163842,0.18251043969540653
9,0.7457627118644068,0.7681159420289855,0.7333333333333333,0.7794117647058824,0.7578125,0.8580201424711373,0.24306067305330387
