,TPR,SPC,PPV,NPV,ACC,AUC,BER
0,0.7333333333333333,0.7285714285714285,0.6984126984126984,0.7611940298507462,0.7307692307692307,0.8335714285714285,0.2690476190476191
1,0.7333333333333333,0.7714285714285715,0.7333333333333333,0.7714285714285715,0.7538461538461538,0.8595238095238095,0.24761904761904763
2,0.8333333333333334,0.7571428571428571,0.746268656716418,0.8412698412698413,0.7923076923076923,0.8997619047619048,0.20476190476190476
3,0.8166666666666667,0.8714285714285714,0.8448275862068966,0.8472222222222222,0.8461538461538461,0.9128571428571429,0.15595238095238095
4,0.85,0.8428571428571429,0.8225806451612904,0.8676470588235294,0.8461538461538461,0.919047619047619,0.15357142857142858
5,0.7333333333333333,0.7971014492753623,0.7586206896551724,0.7746478873239436,0.7674418604651163,0.8611111111111112,0.2347826086956522
6,0.7666666666666667,0.8260869565217391,0.7931034482758621,0.8028169014084507,0.7984496124031008,0.8268115942028986,0.20362318840579707
7,0.9,0.782608695652174,0.782608695652174,0.9,0.8372093023255814,0.9210144927536232,0.15869565217391302
8,0.864406779661017,0.7971014492753623,0.7846153846153846,0.873015873015873,0.828125,0.9280275116678949,0.16924588553181036
9,0.7796610169491526,0.8260869565217391,0.7931034482758621,0.8142857142857143,0.8046875,0.8558093834438713,0.19712601326455415
