,TPR,SPC,PPV,NPV,ACC,AUC,BER
0,0.75,0.7142857142857143,0.6923076923076923,0.7692307692307693,0.7307692307692307,0.8616666666666666,0.26785714285714285
1,0.7666666666666667,0.7571428571428571,0.7301587301587301,0.7910447761194029,0.7615384615384615,0.8609523809523809,0.23809523809523808
2,0.8333333333333334,0.7714285714285715,0.7575757575757576,0.84375,0.8,0.8919047619047619,0.19761904761904758
3,0.7666666666666667,0.8571428571428571,0.8214285714285714,0.8108108108108109,0.8153846153846154,0.8942857142857144,0.1880952380952381
4,0.8333333333333334,0.8714285714285714,0.847457627118644,0.8591549295774648,0.8538461538461538,0.9242857142857142,0.1476190476190476
5,0.7666666666666667,0.8115942028985508,0.7796610169491526,0.8,0.7906976744186046,0.847584541062802,0.21086956521739125
6,0.8,0.7246376811594203,0.7164179104477612,0.8064516129032258,0.7596899224806202,0.8545893719806764,0.23768115942028983
7,0.9,0.782608695652174,0.782608695652174,0.9,0.8372093023255814,0.9103864734299517,0.15869565217391302
8,0.8813559322033898,0.8260869565217391,0.8125,0.890625,0.8515625,0.9245885531810366,0.14627855563743553
9,0.8305084745762712,0.8115942028985508,0.7903225806451613,0.8484848484848485,0.8203125,0.8941292065831491,0.17894866126258901
