,TPR,SPC,PPV,NPV,ACC,AUC,BER
0,0.7166666666666667,0.6714285714285714,0.6515151515151515,0.734375,0.6923076923076923,0.7690476190476191,0.305952380952381
1,0.75,0.7571428571428571,0.7258064516129032,0.7794117647058824,0.7538461538461538,0.8292857142857143,0.24642857142857144
2,0.8,0.8,0.7741935483870968,0.8235294117647058,0.8,0.8809523809523809,0.19999999999999996
3,0.7833333333333333,0.8285714285714286,0.7966101694915254,0.8169014084507042,0.8076923076923077,0.8521428571428571,0.19404761904761902
4,0.7833333333333333,0.7714285714285715,0.746031746031746,0.8059701492537313,0.7769230769230769,0.8811904761904762,0.2226190476190476
5,0.7166666666666667,0.7536231884057971,0.7166666666666667,0.7536231884057971,0.7364341085271318,0.8214975845410628,0.2648550724637681
6,0.7,0.7536231884057971,0.711864406779661,0.7428571428571429,0.7286821705426356,0.8171497584541063,0.27318840579710146
7,0.8333333333333334,0.7536231884057971,0.746268656716418,0.8387096774193549,0.7906976744186046,0.8797101449275362,0.20652173913043476
8,0.7796610169491526,0.782608695652174,0.7540983606557377,0.8059701492537313,0.78125,0.8879882092851878,0.21886514369933674
9,0.7796610169491526,0.782608695652174,0.7540983606557377,0.8059701492537313,0.78125,0.8629329403095063,0.21886514369933674
